"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,";"buzzardLabel";13;"";;;
2;"JP2,JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
3;"Q2,Q1";"SOT-23-3";2;"NPN-SOT-23-3";;;
4;"FD1,FD2";"FIDUCIAL_1MM_PASTE";2;"Fiducial_Stencil";;;
5;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
6;"H2,H4,H3,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
7;"R2,R6";"0402R";2;"1k";;;
8;"U1,U2";"PC357_OPTO";2;"PC357_OPTO";;;
9;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
10;"R4,R8";"0603R";2;"10R";;;
11;"R3,R7";"0603R";2;"330R";;;
12;"D1,D3";"0402LED";2;"purple";;;
13;"K1,K4";"SRD_RELAY_5V";2;"SRD_RELAY_5V";;;
14;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
15;"R1,R5";"0603R";2;"100R";;;
16;"D4,D2";"M4_DIODA";2;"M4_DIODA";;;
17;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
18;"G***";"Symbol-Front-Relay";1;"LOGO";;;
19;"K5,K2";"TERMINAL_KF235-5.0-3P";2;"TERMINAL_KF235-5.0-3P";;;
