"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,";"buzzardLabel";17;"";;;
2;"Q2,Q1";"SOT-23-3";2;"NPN-SOT-23-3";;;
3;"JP1,JP3,JP2";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";3;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
4;"R9,R2,R6";"0402R";3;"2k2";;;
5;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
6;"FD2,FD1";"FIDUCIAL_23";2;"FIDUCIAL";;;
7;"H2,H4,H3,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
8;"U1,U2";"PC357_OPTO";2;"PC357_OPTO";;;
9;"R4,R8";"0603R";2;"10R";;;
10;"R3,R7";"0603R";2;"330R";;;
11;"D1,D3";"0402LED";2;"blue";;;
12;"D5";"0402LED";1;"purple";;;
13;"K1,K4";"SRD_RELAY_5V";2;"SRD_RELAY_5V";;;
14;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
15;"R1,R5";"0603R";2;"100R";;;
16;"D4,D2";"M4_DIODA";2;"M4_DIODA";;;
17;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
18;"G***";"Symbol-Front-Relay";1;"LOGO";;;
19;"K5,K2";"TERMINAL_KF235-5.0-3P";2;"TERMINAL_KF235-5.0-3P";;;
20;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
21;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
